video,config,frame_index,selector,decision,force_reason,visual_transmitted,reason,psss_backend_kind,latent_elements,analog_channel_symbols,source_packet_bits,estimated_digital_channel_symbols,estimated_wire_bytes,digital_symbols_status,wire_bytes_status
01_person_walk,fixed_int4__baseline,81,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,82,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,83,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,84,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,85,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,86,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,87,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,88,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,89,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,9,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__baseline,90,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,91,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,92,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,93,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,94,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,95,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,96,fixed,keyframe,selected,True,,,32768,,2245064,unavailable,280633.0,unavailable,exact
01_person_walk,fixed_int4__baseline,97,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,98,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__baseline,99,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,0,fixed,keyframe,first_frame,True,,,32768,,672192,unavailable,84024.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,1,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,10,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,11,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,12,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,13,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,14,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,15,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,16,fixed,keyframe,selected,True,,,32768,,672200,unavailable,84025.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,17,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,18,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,19,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,2,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,20,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,21,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,22,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,23,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,24,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,25,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,26,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,27,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,28,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,29,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,3,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,30,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,31,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,32,fixed,keyframe,selected,True,,,32768,,672200,unavailable,84025.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,33,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,34,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,35,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,36,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,37,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,38,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,39,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,4,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,40,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,41,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,42,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,43,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,44,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,45,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,46,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,47,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,48,fixed,keyframe,selected,True,,,32768,,672200,unavailable,84025.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,49,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,5,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,50,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,51,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,52,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,53,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,54,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,55,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,56,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,57,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,58,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,59,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,6,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,60,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,61,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,62,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,63,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,64,fixed,keyframe,selected,True,,,32768,,672200,unavailable,84025.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,65,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,66,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,67,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,68,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,69,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,7,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,70,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,71,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,72,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,73,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,74,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,75,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,76,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,77,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,78,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,79,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,8,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,80,fixed,keyframe,selected,True,,,32768,,672200,unavailable,84025.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,81,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,82,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,83,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,84,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,85,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,86,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,87,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,88,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,89,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,9,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,90,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,91,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,92,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,93,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,94,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,95,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,96,fixed,keyframe,selected,True,,,32768,,672200,unavailable,84025.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,97,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,98,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds2,99,fixed,reuse,,False,,,0,,5320,unavailable,665.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,0,fixed,keyframe,first_frame,True,,,32768,,278976,unavailable,34872.0,unavailable,exact
01_person_walk,fixed_int4__combined_ds4,1,fixed,reuse,,False,,,0,,5312,unavailable,664.0,unavailable,exact
